,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,other
67472,0.83,94.63,3391,1.56,kegley,82.0,1.2400000000000000,0
127403,7.32,87.42,3195,2.32,spurlin,83.0,1.19,0
96829,0.22,98.87,3634,0.28,nolt,84.0,0.0,0
141148,2.21,95.38,3029,1.02,vidrine,84.0,0.0,0
34034,0.78,95.67,3464,1.59,dillow,84.0,0.8300000000000000,0
132895,0.36,95.63,3068,1.01,taulbee,84.0,1.17,0
144756,3.28,92.66,3379,1.92,wethington,84.0,1.06,0
31998,0.96,74.28,3868,6.64,demello,85.0,9.39,0
88413,0.65,92.59,3875,2.79,mefford,87.0,1.52,0
59280,1.04,93.54,3081,2.4,hiser,88.0,1.26,0
105980,3.1,91.78,3295,2.09,polston,88.0,1.28,0
68631,1.85,93.84,3197,2.25,kiker,90.0,0.88,0
54775,0.34,94.3,4156,2.62,halterman,90.0,1.13,0
139024,3.28,90.75,3847,3.12,vancleave,90.0,0.8600000000000000,0
85684,0.87,94.13,5518,2.17,matney,91.0,1.03,0
70211,0.76,95.42,3273,1.96,knisley,92.0,0.55,0
55850,14.76,69.13,3644,11.88,hartin,92.0,1.95,0
49182,4.87,91.09,3041,1.78,gillenwater,92.0,0.75,0
8320,36.37,56.11,3099,2.61,bartee,93.0,1.45,0
69815,0.17,96.85,3551,1.58,klingensmith,93.0,0.53,0
98890,6.46,88.03,28949,2.67,oneil,94.0,1.06,0
90174,0.32,93.38,3415,2.9,mikesell,94.0,1.97,0
139370,1.19,93.96,3529,2.07,vandusen,95.0,0.99,0
492,0.56,95.25,3407,1.38,absher,95.0,1.09,0
130711,6.09,88.0,3741,2.67,sullins,96.0,1.3900000000000000,0
44322,2.96,92.7,3070,1.47,foshee,96.0,1.5,0
36631,2.63,93.58,3115,1.12,dufrene,97.0,1.63,0
124578,44.2,50.78,3188,1.63,sistrunk,98.0,0.7,0
119045,0.0,97.83,4514,1.11,schlabach,98.0,0.22,0
131537,44.06,51.06,3159,2.5,swint,98.0,0.57,0
127963,0.46,96.45,3657,1.07,starcher,100.0,0.7100000000000000,0
32923,3.73,83.37,3915,7.89,desousa,102.0,3.1500000000000000,0
120775,0.49,94.49,3033,1.91,sechrist,102.0,1.5100000000000000,0
54149,5.61,88.12,3367,2.67,hackler,102.0,1.63,0
36132,1.31,92.61,7641,2.15,driggers,102.0,2.0700000000000000,0
44282,3.44,91.06,4853,2.27,fortney,104.0,1.32,0
59071,3.22,90.97,3390,2.36,hiner,105.0,1.8600000000000000,0
43423,0.3,96.06,3651,1.84,fleenor,105.0,0.52,0
87810,23.98,72.21,3415,1.55,mcmillion,105.0,0.73,0
81618,0.26,95.83,4552,2.11,lykins,106.0,0.79,0
131309,0.17,98.99,3453,0.0,swartzentruber,106.0,0.17,0
14239,0.0,97.0,3235,1.24,bolyard,106.0,0.4,0
52007,2.25,94.39,3154,1.08,greeson,107.0,1.08,0
148406,13.47,81.46,3311,2.45,yowell,107.0,1.32,0
49844,0.2,94.92,3563,2.98,glidewell,109.0,0.7,0
