,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,other
146011,0.0,95.15,1422,1.76,winebarger,11.0,1.41,0
27074,0.0,95.96,1114,1.53,costlow,11.0,1.08,0
115178,2.48,93.81,1050,1.24,runions,11.0,0.86,0
42539,0.0,97.29,1072,1.59,fetterolf,11.0,0.0,0
121542,3.29,93.24,1094,1.74,senters,11.0,0.0,0
103541,0.0,98.34,2354,1.02,petersheim,11.0,0.3,0
31839,0.0,97.31,1229,1.06,delsignore,11.0,0.0,0
139292,0.0,95.97,1986,2.06,vandeusen,11.0,0.65,0
56780,0.0,94.21,1538,2.28,heckathorn,11.0,0.91,0
124601,0.0,96.21,1107,1.72,sitler,11.0,0.72,0
32673,0.0,94.6,1203,2.16,derosia,12.0,0.75,0
129737,2.02,94.5,1437,0.56,strauser,12.0,1.3200000000000000,0
138447,0.0,93.44,1173,2.39,usrey,12.0,0.85,0
137621,0.83,95.38,1212,1.82,twedt,12.0,1.32,0
130504,9.94,85.49,1227,2.28,suddeth,12.0,0.0,0
128601,0.67,95.22,1193,2.1,stemen,12.0,0.0,0
26494,6.5,85.32,1015,3.45,copher,12.0,3.15,0
5478,0.0,95.58,1132,1.68,atnip,12.0,0.97,0
98003,1.33,93.69,1427,2.1,odwyer,12.0,1.47,0
134245,1.74,94.21,1953,1.38,thornsberry,12.0,0.98,0
114028,1.48,96.22,1216,0.99,rosenbalm,13.0,0.0,0
4934,0.41,96.45,1211,0.66,artrip,13.0,0.99,0
125532,0.54,95.29,1104,2.45,smitley,13.0,0.0,0
60857,1.03,92.64,1263,1.35,hotard,13.0,3.7200000000000000,0
99687,0.0,94.28,1049,2.96,osterhoudt,13.0,0.67,0
138921,4.8,88.65,2397,2.54,vanallen,13.0,1.92,0
139276,0.0,96.03,1107,0.99,vanderwoude,13.0,1.45,0
30029,15.57,78.72,1034,3.68,dartez,13.0,0.0,0
36924,0.34,96.51,2035,1.57,dunmire,14.0,0.73,0
112650,7.08,89.43,1031,1.07,rittenberry,14.0,0.0,0
5127,0.0,94.26,1149,2.61,ashline,14.0,0.7,0
106986,1.49,94.41,1413,2.26,prevatt,14.0,0.84,0
38916,0.0,93.53,1251,3.52,ellingsworth,14.0,0.64,0
69377,0.0,96.78,1241,1.85,kitzman,14.0,0.0,0
144424,0.95,95.17,1159,0.69,wentland,14.0,1.47,0
27299,2.25,92.89,1069,3.09,couvillion,14.0,0.0,0
30773,3.43,90.74,1922,1.93,declue,14.0,1.0900000000000000,0
52752,0.42,95.56,1195,2.26,grubaugh,14.0,0.0,0
123214,0.0,93.61,1096,2.74,shoopman,14.0,0.73,0
139211,0.0,96.88,1637,0.67,vanderploeg,14.0,0.43,0
59340,0.0,96.52,1208,0.83,hixenbaugh,14.0,0.83,0
50878,0.0,94.01,1086,2.21,gootee,14.0,1.57,0
144941,0.51,96.12,1961,1.22,whipkey,14.0,0.96,0
85591,4.5,86.71,1490,3.09,mathena,14.0,2.82,0
10888,0.0,95.77,1181,2.12,berkheimer,15.0,0.59,0
121641,0.0,97.42,1008,0.6,serfass,15.0,0.6,0
103197,0.0,96.39,1053,1.61,perkey,15.0,0.47,0
86617,9.56,85.05,1057,2.65,mcclaran,15.0,1.04,0
11759,0.83,93.48,1089,2.2,bibler,15.0,1.65,0
5713,0.5,96.31,1194,1.34,aungst,15.0,0.59,0
46755,0.0,95.29,1019,2.16,ganoe,15.0,0.69,0
27610,2.01,93.12,1046,3.15,cravey,15.0,0.0,0
33964,0.61,92.45,1139,1.67,dildine,15.0,2.8100000000000000,0
124205,0.52,96.38,1907,0.94,simmerman,15.0,0.79,0
27094,11.7,84.89,1026,1.17,cothron,15.0,0.0,0
27091,2.1,93.2,2000,1.9,cothern,15.0,0.9,0
41129,0.0,97.94,1017,0.98,fangman,15.0,0.0,0
12922,0.5,93.21,1207,2.07,blansett,15.0,1.49,0
104601,0.99,92.57,1009,2.38,pilkinton,15.0,2.27,0
61745,0.41,97.39,2185,0.5,huneycutt,15.0,0.6,0
133108,3.61,92.2,1385,1.95,tedrick,16.0,1.0900000000000000,0
142570,33.95,59.93,1143,1.66,wafford,16.0,0.0,0
25201,7.23,86.19,1079,2.59,clonts,16.0,2.88,0
105433,0.39,94.38,1282,2.03,plotner,16.0,1.56,0
46567,0.0,91.87,1365,5.27,galyean,16.0,1.47,0
122427,0.54,96.07,1120,1.88,shaulis,16.0,0.8,0
133326,0.0,92.25,1006,1.79,tenbrink,16.0,3.3800000000000000,0
