,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,others
2235,0.0,4.41,136,27.21,almazar,5.0,63.97,0
132063,0.0,13.18,129,6.98,tagatac,5.0,64.34,0
96017,0.0,0.0,193,0.0,nhean,5.0,96.89,0
85659,0.0,0.0,123,4.07,matillano,5.0,91.87,0
89507,0.0,5.76,330,8.48,mesteth,5.0,83.94,0
65655,0.0,5.83,120,11.67,kahananui,5.0,52.5,0
131694,0.0,0.0,147,0.0,sysavath,5.0,95.92,0
68643,0.0,0.0,206,0.0,kilaru,5.0,96.12,0
111817,0.0,7.21,111,8.11,ricasa,5.0,77.48,0
79588,0.0,2.84,317,1.58,locquiao,5.0,90.85,0
1785,0.0,6.25,176,11.93,alconcel,5.0,68.75,0
145026,0.0,10.92,119,0.0,whiteowl,5.0,76.47,0
26583,0.0,39.27,275,5.09,corbine,5.0,52.0,0
144988,0.0,9.23,542,4.43,whiteeagle,5.0,77.12,0
77583,0.0,0.0,113,7.08,leomiti,5.0,76.11,0
45057,0.0,13.01,123,30.08,frando,5.0,53.66,0
101820,4.55,9.74,154,3.9,patawaran,5.0,75.32,0
35352,28.73,9.33,268,4.1,doobay,5.0,51.49,0
112324,0.0,8.59,128,10.94,rimorin,5.0,78.91,0
19171,0.0,0.0,271,0.0,butac,5.0,92.62,0
3393,0.0,14.72,163,18.4,andrion,5.0,59.51,0
115957,0.0,0.0,762,1.31,saephanh,5.0,96.85,0
66502,0.0,0.0,146,0.0,karamchandani,5.0,93.15,0
141575,0.0,2.88,208,3.37,vinoya,5.0,89.9,0
66321,0.0,0.0,112,0.0,kansagra,5.0,95.54,0
116623,0.0,8.82,204,12.75,saludares,5.0,65.2,0
48027,0.0,7.41,135,8.15,geluz,5.0,82.22,0
114686,0.0,5.13,156,9.62,rualo,5.0,71.79,0
46630,0.0,0.0,289,5.19,gamiao,5.0,85.12,0
147489,0.0,7.97,138,0.0,xayachack,5.0,86.23,0
46666,0.0,0.0,123,4.07,ganancial,5.0,72.36,0
131334,0.0,40.27,149,0.0,swayney,5.0,51.01,0
19496,0.0,0.0,139,0.0,cabasag,5.0,83.45,0
130744,0.0,5.45,202,9.9,sumabat,5.0,78.71,0
69302,3.63,11.4,193,5.7,kisto,5.0,76.17,0
258,0.0,0.0,149,0.0,abille,5.0,89.93,0
109641,0.0,0.0,179,3.35,rasay,5.0,82.68,0
137063,0.0,8.06,124,11.29,tsoodle,5.0,71.77,0
52972,0.0,9.76,123,9.76,guadiz,5.0,68.29,0
124670,0.0,3.23,186,0.0,sivongxay,5.0,90.32,0
144559,0.0,18.01,211,0.0,wesaw,5.0,71.09,0
107226,0.0,8.55,117,7.69,prodigalidad,5.0,76.92,0
233,0.0,3.66,164,9.76,abenoja,5.0,78.05,0
92111,0.0,0.0,132,6.82,montefalcon,5.0,87.12,0
138587,0.0,0.0,115,0.0,vaenuku,5.0,86.09,0
24312,0.0,0.0,111,0.0,chunduru,5.0,100.0,0
11613,0.0,3.53,170,0.0,bhangoo,5.0,94.12,0
851,0.0,0.0,118,0.0,afaga,5.0,87.29,0
5815,0.0,4.72,127,0.0,auyong,5.0,72.44,0
12728,0.0,0.0,114,8.77,blackcrow,5.0,87.72,0
11595,16.57,11.24,338,6.21,bhagwandin,5.0,59.17,0
9918,0.0,4.07,123,17.07,belandres,5.0,73.17,0
76232,0.0,42.04,647,2.32,lavallie,5.0,50.23,0
137101,0.0,9.4,117,0.0,tuano,5.0,87.18,0
136106,0.0,0.0,143,4.2,transfiguracion,5.0,85.31,0
124664,0.0,2.02,297,0.0,sivilay,5.0,92.93,0
42962,0.0,4.55,132,0.0,fineday,5.0,91.67,0
138072,0.0,0.0,122,0.0,umipig,5.0,87.7,0
36773,0.0,3.94,127,0.0,dumadag,5.0,81.1,0
83805,0.0,0.0,110,5.45,manlulu,5.0,93.64,0
90771,0.0,7.46,134,0.0,minoza,5.0,86.57,0
138197,0.0,0.0,110,0.0,upadhyayula,5.0,100.0,0
55288,0.0,2.44,205,3.41,hansana,5.0,92.2,0
36456,0.0,20.27,370,2.7,ducheneaux,5.0,69.46,0
5038,0.0,4.35,161,31.68,ascano,5.0,63.35,0
103999,0.0,3.52,142,0.0,phath,5.0,89.44,0
91867,0.0,15.65,115,0.0,mondala,5.0,80.0,0
1122,0.0,7.14,182,10.99,agliam,5.0,69.23,0
25746,0.0,25.83,120,7.5,colhoff,5.0,55.83,0
108306,0.0,4.55,110,10.0,quinene,5.0,65.45,0
150290,0.0,0.0,118,0.0,zunie,5.0,97.46,0
1150,0.0,0.0,247,4.86,agonoy,5.0,91.09,0
104038,0.0,0.0,189,0.0,philavong,5.0,94.18,0
125841,0.0,20.08,244,0.0,sockey,5.0,70.08,0
81112,0.0,1.71,351,1.99,lugtu,5.0,93.16,0
83635,0.0,4.93,142,9.15,mangabat,5.0,81.69,0
67571,0.0,5.19,212,4.25,kekauoha,5.0,53.77,0
118062,0.0,5.78,173,0.0,sayasane,6.0,89.02,0
19463,0.0,6.57,137,0.0,cabael,6.0,71.53,0
97359,0.0,3.81,236,2.54,nugyen,6.0,89.41,0
19483,0.0,3.36,268,6.34,cabanban,6.0,79.48,0
23772,0.0,0.0,184,0.0,chigurupati,6.0,97.83,0
5891,0.0,6.2,129,0.0,averion,6.0,88.37,0
117181,0.0,6.72,119,10.92,sanmateo,6.0,78.15,0
23831,16.36,10.0,110,5.45,chinapen,6.0,60.91,0
123934,0.0,2.47,730,1.23,siharath,6.0,90.68,0
116808,0.0,0.0,150,0.0,samnani,6.0,94.67,0
116862,0.0,0.0,144,0.0,samreth,6.0,90.97,0
23019,0.0,2.66,263,2.66,chanthalangsy,6.0,91.25,0
23020,0.0,3.47,144,0.0,chantharath,6.0,85.42,0
128951,0.0,8.79,239,0.0,stiffarm,6.0,84.52,0
22532,0.0,9.01,233,2.15,ceralde,6.0,78.11,0
6932,0.0,5.6,268,11.19,balangue,6.0,76.49,0
95999,0.0,0.0,391,1.53,ngov,6.0,95.14,0
77478,0.0,0.0,195,0.0,lenh,6.0,99.49,0
126549,0.0,3.65,137,0.0,souksavath,6.0,90.51,0
94645,0.0,0.0,135,0.0,namburi,6.0,99.26,0
95473,0.0,0.0,134,0.0,nekkanti,6.0,95.52,0
94478,0.0,0.0,177,11.3,nagtalon,6.0,83.62,0
89243,0.0,6.63,181,0.0,merculief,6.0,86.19,0
88947,0.0,0.0,131,0.0,menchavez,6.0,85.5,0
5377,0.0,0.0,172,4.65,asuega,6.0,83.14,0
4463,0.0,0.0,118,17.8,argonza,6.0,77.12,0
82204,0.0,0.0,122,0.0,maddineni,6.0,99.18,0
63000,0.0,21.24,113,0.0,ironwing,6.0,62.83,0
82372,0.0,9.84,122,0.0,mafua,6.0,63.11,0
650,0.0,5.85,171,0.0,adajar,6.0,87.72,0
14789,0.0,16.39,122,12.3,borillo,6.0,70.49,0
132232,0.0,8.62,174,18.39,talaro,6.0,60.34,0
70769,0.0,0.0,113,0.0,kokrine,6.0,91.15,0
34187,22.53,9.89,182,2.75,dindial,6.0,54.950000000000000,0
131960,0.0,3.51,171,35.09,tabuyo,6.0,57.89,0
70653,0.0,0.0,211,0.0,koganti,6.0,96.68,0
132236,0.0,0.0,136,0.0,talasila,6.0,97.79,0
554,0.0,3.36,268,10.45,acfalle,6.0,69.4,0
132468,0.0,0.0,236,4.66,tanglao,6.0,92.8,0
109339,26.04,0.0,169,5.92,ramrup,6.0,62.72,0
110324,0.0,3.21,280,8.93,redbear,6.0,82.5,0
12740,0.0,0.0,197,0.0,blackgoat,6.0,92.39,0
135072,0.0,0.0,148,0.0,todacheene,6.0,95.95,0
38056,0.0,9.09,110,21.82,edrosa,6.0,62.73,0
149472,0.0,6.73,505,4.36,zephier,6.0,79.6,0
79973,0.0,0.0,148,10.81,longboy,6.0,77.7,0
109622,0.0,7.27,110,10.91,raquedan,6.0,72.73,0
135484,0.0,0.0,363,1.65,tonthat,6.0,93.94,0
104135,0.0,3.09,162,0.0,phongsa,6.0,91.98,0
134191,0.0,0.0,113,0.0,thongdy,6.0,84.07,0
84070,0.0,5.38,223,0.0,mapanao,6.0,80.72,0
84075,0.0,10.77,130,0.0,mapili,6.0,76.92,0
65096,0.0,7.02,114,17.54,jovero,6.0,68.42,0
108829,20.09,7.76,219,7.76,ragnauth,6.0,57.99,0
108879,2.43,2.43,247,3.24,rahlan,6.0,90.69,0
82419,0.0,0.0,183,0.0,magbitang,6.0,94.54,0
83778,0.0,3.56,646,2.79,manivong,6.0,87.93,0
82839,0.0,4.49,156,0.0,maisuria,6.0,87.82,0
84033,0.0,2.04,737,0.68,manygoats,6.0,93.76,0
134579,0.0,16.41,128,0.0,tigno,6.0,77.34,0
109142,19.56,6.67,225,2.22,rambharose,6.0,56.0,0
109136,17.23,11.82,296,5.41,rambarran,6.0,53.380000000000000,0
42686,0.0,5.26,114,0.0,fiefia,6.0,75.44,0
32121,0.0,5.47,128,0.0,demonteverde,6.0,86.72,0
137695,0.0,13.27,211,2.84,tyau,6.0,56.87,0
138135,0.0,3.23,155,9.03,ungos,6.0,69.68,0
32021,0.85,3.05,821,14.86,demesa,6.0,77.1,0
47046,0.0,7.1,169,13.61,garduque,6.0,72.78,0
32430,0.0,18.33,120,0.0,depano,6.0,74.17,0
64277,0.0,33.71,178,0.0,jeanotte,6.0,55.06,0
30997,0.0,4.98,281,2.49,degala,6.0,82.92,0
8018,0.0,5.16,155,0.0,barlaan,6.0,87.1,0
115960,0.0,0.0,138,0.0,saetang,6.0,94.93,0
115968,0.0,0.0,246,0.0,saeyang,6.0,91.06,0
8053,0.0,3.65,137,9.49,barnachea,6.0,78.83,0
116091,0.0,6.31,111,0.0,saguid,6.0,76.58,0
64182,0.0,0.0,131,3.82,javate,6.0,93.89,0
2638,0.0,4.17,240,0.0,altaha,6.0,91.25,0
8509,0.0,4.8,125,37.6,basallo,6.0,56.8,0
57590,0.0,0.0,111,0.0,hemrajani,6.0,94.59,0
46661,0.0,21.99,191,10.99,ganaden,6.0,64.4,0
130882,0.0,0.0,114,13.16,sunio,6.0,68.42,0
10676,0.0,4.35,115,0.0,bercasio,6.0,82.61,0
6442,0.0,5.15,136,3.68,bacud,7.0,90.44,0
12730,0.0,5.0,120,0.0,blackeagle,7.0,82.5,0
92317,0.0,0.0,192,19.27,moquino,7.0,75.52,0
82267,0.0,0.0,241,0.0,madlangbayan,7.0,97.1,0
62995,0.0,0.0,123,0.0,ironhawk,7.0,95.93,0
137188,0.0,9.93,141,13.48,tufono,7.0,55.32,0
11734,0.0,5.3,132,0.0,bibat,7.0,87.88,0
137829,0.0,9.32,236,6.78,udarbe,7.0,79.66,0
62876,0.0,0.0,198,3.03,inthirath,7.0,88.89,0
124255,0.0,5.88,136,0.0,simpao,7.0,84.56,0
82380,0.0,8.28,145,3.45,magalei,7.0,64.83,0
142213,0.0,0.0,1191,0.0,voong,7.0,98.82,0
59167,0.0,20.85,211,13.74,hipol,7.0,58.77,0
65738,0.0,8.87,124,0.0,kajani,7.0,84.68,0
19966,0.0,7.36,258,5.43,callanta,7.0,83.33,0
132057,0.0,0.0,124,0.0,tagalicud,7.0,91.94,0
8712,0.0,3.05,197,4.06,basuel,7.0,84.26,0
140518,0.0,0.0,129,8.53,vendiola,7.0,63.57,0
131889,0.0,0.0,200,0.0,tabaha,7.0,95.5,0
59376,0.0,0.0,149,0.0,hmung,7.0,96.64,0
18420,0.0,2.24,804,5.35,bumanglag,7.0,85.07,0
19565,0.0,9.09,143,23.78,cabunoc,7.0,58.74,0
141153,0.0,7.6,250,10.0,viduya,7.0,71.2,0
83686,0.0,4.13,121,4.13,manglani,7.0,90.08,0
83694,0.0,0.0,162,3.09,mangoba,7.0,94.44,0
67125,0.0,4.94,162,4.94,kauvaka,7.0,64.81,0
6556,0.0,4.46,112,23.21,baello,7.0,72.32,0
140323,0.0,0.0,256,0.0,veeramachaneni,7.0,96.88,0
140324,0.0,0.0,115,0.0,veerapaneni,7.0,99.13,0
132874,0.0,11.97,117,5.13,tauai,7.0,60.68,0
79274,0.0,5.5,291,4.12,littlewolf,7.0,81.79,0
59886,0.0,0.0,121,0.0,hnem,7.0,95.04,0
8744,0.0,0.0,234,0.0,batchu,7.0,95.73,0
60990,0.0,15.54,148,0.0,houth,7.0,76.35,0
79414,0.0,0.0,119,5.88,llarenas,7.0,71.43,0
6924,0.0,3.28,274,4.38,balanay,7.0,81.75,0
3517,0.0,8.33,132,0.0,angilau,7.0,78.03,0
117418,0.0,0.0,150,5.33,sapinoso,7.0,88.67,0
97743,3.6,0.0,139,0.0,obillo,7.0,85.61,0
48743,0.0,1.87,374,0.0,ghotra,7.0,92.51,0
96374,0.0,7.21,111,0.0,nijjer,7.0,90.99,0
356,0.0,6.86,175,5.14,abiva,7.0,73.71,0
107601,0.0,3.43,175,0.0,pugeda,7.0,88.0,0
97364,0.0,11.62,284,0.0,nukala,7.0,86.27,0
96574,0.0,4.55,110,0.0,nitahara,7.0,65.45,0
4294,0.0,0.0,137,0.0,apuya,7.0,94.89,0
71053,0.0,0.0,139,0.0,konduri,7.0,92.81,0
104131,0.0,0.0,141,3.55,phomsouvanh,7.0,90.78,0
148708,0.0,14.53,117,0.0,zahne,7.0,81.2,0
101803,0.0,0.0,159,0.0,patadia,7.0,98.11,0
71705,0.0,0.0,137,0.0,kosuri,7.0,98.54,0
110432,0.0,0.0,156,3.85,redowl,7.0,89.74,0
73498,0.0,0.0,207,0.0,kuoch,7.0,99.03,0
102969,0.0,21.43,140,0.0,pepion,7.0,73.57,0
1186,0.0,0.0,115,6.09,agsalud,7.0,93.91,0
103984,0.0,0.0,143,0.0,phanouvong,7.0,95.1,0
46535,0.0,0.0,138,0.0,galsim,7.0,95.65,0
46664,0.0,2.47,283,6.36,ganal,7.0,84.81,0
100381,0.0,6.34,142,3.52,pagarigan,7.0,73.94,0
100285,0.0,10.07,149,4.03,padayao,7.0,70.47,0
74248,0.0,2.55,196,5.61,ladao,7.0,76.53,0
101218,0.0,0.0,118,16.95,paracuelles,7.0,55.93,0
42497,0.0,0.0,132,5.3,fesili,7.0,88.64,0
100545,0.0,5.44,331,6.34,palaganas,7.0,84.29,0
67929,0.0,0.0,148,0.0,keohavong,7.0,97.97,0
24121,4.31,4.31,116,0.0,choup,7.0,90.52,0
94063,0.0,0.0,179,0.0,musngi,7.0,91.06,0
94064,0.0,6.07,280,4.64,musni,7.0,87.14,0
23839,0.0,0.0,122,0.0,chindavong,7.0,96.72,0
105849,0.0,5.68,229,3.93,polintan,7.0,85.15,0
92735,2.8,25.23,321,2.8,morsette,7.0,65.42,0
227,0.0,0.0,128,4.69,abellar,7.0,84.38,0
68414,0.0,7.5,160,0.0,khowaja,7.0,91.88,0
40729,0.0,10.8,176,18.18,factora,7.0,60.23,0
40987,0.0,0.0,114,7.02,faletogo,7.0,77.19,0
6441,0.0,5.88,153,0.0,bactad,8.0,75.16,0
136183,0.0,13.16,304,2.3,traversie,8.0,75.33,0
2258,0.0,12.68,142,17.61,almirol,8.0,57.04,0
45626,0.0,0.0,121,0.0,fujishige,8.0,85.95,0
83060,0.0,0.0,145,6.9,malasig,8.0,78.62,0
5630,0.0,10.81,148,0.0,augare,8.0,81.76,0
100445,0.0,4.66,193,5.7,paguyo,8.0,74.09,0
147658,0.0,3.65,301,4.98,yamat,8.0,85.05,0
46156,0.0,12.28,114,0.0,gagni,8.0,78.95,0
122282,0.0,0.0,172,0.0,shanmugasundara,8.0,99.42,0
91445,0.0,0.0,173,0.0,moeung,8.0,94.8,0
46638,0.0,7.27,110,0.0,gammad,8.0,88.18,0
46014,0.0,7.14,182,8.79,gacayan,8.0,65.38,0
14213,0.0,2.23,404,1.24,bolosan,8.0,83.91,0
104037,0.0,0.0,198,0.0,philavanh,8.0,91.92,0
111625,0.0,15.35,228,5.7,reynon,8.0,57.020000000000000,0
83700,0.0,0.0,124,0.0,mangonon,8.0,91.94,0
83768,0.0,0.0,239,2.09,manipon,8.0,82.43,0
23673,0.0,0.0,271,0.0,chhoun,8.0,88.93,0
35078,0.0,6.83,249,3.21,domantay,8.0,86.75,0
37937,0.0,3.14,159,0.0,edejer,8.0,91.19,0
8879,0.0,18.71,155,6.45,battung,8.0,69.68,0
60371,0.0,0.0,150,5.33,honanie,8.0,90.0,0
132980,0.0,13.01,146,16.44,tayco,8.0,60.96,0
79230,0.0,4.32,139,4.32,litonjua,8.0,87.05,0
14772,0.0,0.0,127,11.81,borgonia,8.0,87.4,0
44417,0.0,10.26,195,2.56,fourkiller,8.0,80.0,0
35633,0.0,4.0,125,4.8,dossani,8.0,89.6,0
104124,0.0,1.51,595,3.19,phommachanh,8.0,89.75,0
60408,6.62,3.68,136,0.0,honie,8.0,83.09,0
50744,0.0,0.0,112,10.71,goodbear,8.0,78.57,0
141110,0.0,0.0,193,3.11,vidad,8.0,88.6,0
4074,0.0,0.0,132,4.55,arayata,8.0,95.45,0
19561,0.0,8.82,136,0.0,cabuco,8.0,81.62,0
19893,0.0,11.43,140,4.29,calibuso,8.0,62.14,0
142169,0.0,0.0,159,0.0,vongxay,8.0,93.71,0
81800,0.0,0.0,201,0.0,macapinlac,8.0,93.03,0
108234,0.0,0.0,118,0.0,quiba,8.0,94.92,0
136815,1.19,2.2,590,0.0,troung,8.0,92.71,0
12540,0.0,19.83,121,0.0,bisnar,8.0,70.25,0
29832,0.0,0.0,207,0.0,daoheuang,8.0,99.52,0
3900,0.0,14.94,154,0.0,apigo,8.0,73.38,0
97741,0.0,43.44,122,0.0,obien,8.0,50.0,0
120867,14.36,0.0,181,6.08,seecharran,8.0,58.01,0
517,0.0,7.3,178,19.66,acain,8.0,61.24,0
127264,0.0,0.0,169,2.96,spottedhorse,8.0,91.72,0
20583,0.0,3.09,194,12.89,cantorna,8.0,76.29,0
267,0.0,5.0,140,4.29,ablang,8.0,82.14,0
292,0.0,6.72,134,5.97,abrajano,8.0,82.09,0
4322,0.0,8.73,126,8.73,aquiningoc,8.0,53.97,0
96433,0.0,0.0,146,28.08,nillo,8.0,64.38,0
11604,0.0,4.55,154,0.0,bhamani,8.0,87.66,0
137123,0.0,3.05,164,14.63,tucay,8.0,73.78,0
107753,0.0,0.0,163,11.04,punla,8.0,85.28,0
115932,0.0,3.8,158,5.7,sadsad,8.0,88.61,0
18061,23.88,12.31,536,2.8,budhram,8.0,54.1,0
138879,0.0,0.0,151,9.27,valmores,8.0,84.77,0
94173,0.0,0.0,278,4.68,mutuc,8.0,89.57,0
121911,0.0,9.65,114,0.0,sevidal,8.0,79.82,0
17463,25.0,6.67,120,6.67,brual,8.0,56.67,0
3048,0.0,5.31,113,0.0,amigable,8.0,90.27,0
31828,0.36,5.15,8402,32.05,delrosario,8.0,58.03,0
90884,0.0,0.0,130,0.0,miriyala,8.0,94.62,0
78356,0.0,3.78,185,9.19,licup,8.0,83.78,0
116836,0.0,4.09,220,7.73,sampayan,8.0,81.82,0
21815,0.0,7.31,260,26.15,castanares,8.0,62.31,0
141588,0.0,0.0,110,0.0,vinuya,8.0,81.82,0
82260,0.0,0.0,114,0.0,madireddy,8.0,97.37,0
138763,0.0,7.58,198,12.12,valeros,8.0,68.69,0
78265,0.0,3.65,137,0.0,liboon,8.0,89.05,0
30490,0.0,3.31,604,15.56,deasis,8.0,73.01,0
98455,0.0,7.44,511,7.24,olaes,8.0,77.89,0
108252,0.0,7.89,228,12.72,quidachay,9.0,56.14,0
137078,0.0,0.0,147,10.2,tsuha,9.0,75.51,0
11656,0.0,0.0,175,0.0,bholat,9.0,90.86,0
62421,0.0,16.57,175,7.43,igarta,9.0,54.86,0
104133,0.0,4.69,128,0.0,phonesavanh,9.0,88.28,0
81778,0.0,3.33,481,2.91,macadangdang,9.0,84.82,0
104140,0.0,0.0,182,3.3,phothisane,9.0,93.96,0
109245,0.0,2.3,391,4.35,ramiscal,9.0,84.4,0
137944,0.0,0.0,149,3.36,ukani,9.0,92.62,0
82394,0.0,3.47,173,6.36,magante,9.0,84.97,0
41985,0.0,16.62,385,11.95,fejeran,9.0,55.06,0
97025,0.0,0.0,179,0.0,norng,9.0,92.18,0
19916,0.0,4.22,403,1.74,calimlim,9.0,84.37,0
96021,0.0,3.55,169,0.0,nhieu,9.0,94.67,0
20449,0.0,0.0,230,3.48,canilao,9.0,92.61,0
29945,0.0,1.56,321,0.0,darjee,9.0,97.82,0
29142,0.0,4.81,187,0.0,dacuycuy,9.0,83.42,0
56727,0.0,5.59,161,0.0,heavyrunner,9.0,91.93,0
29250,0.0,4.83,207,11.59,dahilig,9.0,76.33,0
23100,0.0,13.84,289,10.03,charfauros,9.0,50.52,0
53177,0.0,11.29,248,12.5,guerzon,9.0,62.5,0
123569,0.0,0.0,130,0.0,sibounheuang,9.0,91.54,0
51268,0.0,18.18,451,2.88,gourneau,9.0,68.74,0
94785,0.0,5.34,131,13.74,narcho,9.0,75.57,0
26961,0.0,0.0,213,3.76,cosay,9.0,94.37,0
121479,0.0,2.45,204,0.0,sengmany,9.0,90.2,0
21974,0.0,6.27,271,4.06,catabay,9.0,76.01,0
112300,0.0,14.41,118,16.1,rillon,9.0,55.08,0
34676,0.0,9.76,246,0.0,dmello,9.0,86.59,0
83955,0.0,8.23,243,6.58,mantanona,9.0,58.44,0
99262,0.0,15.38,130,0.0,orlino,9.0,81.54,0
30389,0.0,14.94,308,3.9,dcruz,9.0,72.08,0
130603,0.0,4.74,401,2.99,suguitan,9.0,82.79,0
115089,0.0,3.53,170,0.0,rulloda,9.0,90.59,0
100178,0.0,0.0,136,0.0,pabustan,9.0,94.12,0
99939,0.0,5.26,152,5.92,ouye,9.0,80.26,0
66839,0.0,0.0,147,0.0,kasireddy,9.0,95.24,0
4120,0.0,0.0,123,4.88,arcena,9.0,92.68,0
79257,0.0,8.24,170,3.53,littlebird,9.0,84.71,0
80324,0.0,0.0,133,6.02,lorico,9.0,84.96,0
68944,0.0,5.69,211,0.0,kinikini,9.0,81.52,0
138853,0.0,0.0,150,0.0,valliani,9.0,94.66,0
142165,0.0,0.0,164,3.05,vongsavath,9.0,92.07,0
138670,0.0,21.74,230,2.61,valandra,9.0,66.09,0
74586,0.0,13.33,150,7.33,laigo,9.0,74.0,0
1129,0.0,0.0,185,2.7,agmata,9.0,93.51,0
874,0.0,20.67,179,16.76,aflague,9.0,51.4,0
65545,0.0,0.0,170,0.0,kadariya,9.0,90.59,0
7496,0.0,4.33,277,6.86,baniaga,9.0,68.23,0
7506,0.0,3.69,244,2.46,baniqued,9.0,86.89,0
143648,0.0,10.91,110,16.36,weahkee,9.0,70.0,0
68109,0.0,0.0,180,0.0,keshwani,9.0,97.78,0
148523,0.0,3.75,160,0.0,yutuc,9.0,92.5,0
75648,0.0,0.0,174,3.45,laroya,10.0,89.08,0
145010,0.0,25.98,127,0.0,whitekiller,10.0,61.42,0
51199,0.0,0.0,138,0.0,gottumukkala,10.0,96.38,0
130986,0.0,11.67,120,0.0,surh,10.0,74.17,0
135970,0.0,0.0,141,12.77,toyofuku,10.0,77.3,0
95058,0.0,0.0,139,0.0,navasca,10.0,96.4,0
107750,0.0,0.0,151,0.0,punjwani,10.0,92.05,0
108197,0.0,13.61,404,12.38,quenga,10.0,51.73,0
108195,0.0,0.0,128,11.72,quemuel,10.0,78.91,0
83702,0.0,14.57,254,9.06,mangosing,10.0,70.87,0
83698,0.0,34.9,149,7.38,mangona,10.0,57.05,0
83460,0.0,10.62,471,4.88,manaois,10.0,75.37,0
83456,0.0,2.14,280,3.21,manangan,10.0,87.85,0
109253,14.62,7.08,212,7.08,ramkishun,10.0,65.09,0
74102,0.0,10.76,223,5.38,labuguen,10.0,73.09,0
83611,0.0,18.8,117,0.0,manese,10.0,73.5,0
83522,0.0,0.0,155,0.0,mandadi,10.0,98.71,0
79373,0.0,0.0,137,0.0,lizada,10.0,94.16,0
29663,0.0,3.0,200,0.0,danganan,10.0,92.5,0
122345,14.75,0.0,122,0.0,sharieff,10.0,81.97,0
74811,0.0,0.0,117,0.0,lamebull,10.0,88.03,0
73552,0.0,0.0,157,0.0,kurapati,10.0,96.18,0
36001,0.0,19.46,149,0.0,dreadfulwater,10.0,73.15,0
35026,0.0,5.28,246,11.38,dollente,10.0,76.83,0
24018,0.0,0.0,160,0.0,chodon,10.0,97.5,0
124807,0.0,14.84,775,5.81,skenandore,10.0,70.45,0
35355,12.04,14.81,216,0.0,doodnauth,10.0,61.57,0
101350,0.0,3.55,141,7.09,parinas,10.0,82.27,0
2005,0.0,9.57,115,0.0,alidina,10.0,80.87,0
76398,0.0,12.61,119,0.0,layco,10.0,83.19,0
73845,0.0,6.09,115,0.0,kwack,10.0,93.91,0
141712,0.0,4.9,245,6.53,visperas,10.0,79.18,0
66029,0.0,10.97,155,7.1,kaluna,10.0,54.84,0
94843,0.0,6.56,122,0.0,narruhn,10.0,79.51,0
100778,0.0,0.0,142,5.63,palting,10.0,84.51,0
18319,0.0,5.88,136,3.68,bulaon,10.0,88.24,0
117622,0.0,11.97,117,12.82,sarol,10.0,70.09,0
103985,0.0,2.15,466,2.58,phanthavong,10.0,91.2,0
18059,0.0,0.0,115,0.0,budhiraja,10.0,98.26,0
74670,4.17,8.33,120,0.0,lalchandani,10.0,79.17,0
73972,0.0,5.15,194,4.12,labasan,10.0,78.35,0
20520,0.0,4.73,275,9.45,canonizado,10.0,78.55,0
5297,0.0,6.47,139,7.19,asprer,10.0,79.86,0
19517,0.0,10.16,128,7.03,cabellon,10.0,66.41,0
19510,0.0,5.69,404,10.64,cabebe,10.0,67.57,0
19503,0.0,11.45,131,9.16,cabauatan,10.0,77.1,0
99347,0.0,5.32,395,7.59,orpilla,10.0,78.23,0
68388,0.0,4.74,211,0.0,khinda,10.0,93.36,0
128657,0.0,5.22,115,0.0,stensgar,10.0,87.83,0
19454,0.0,4.87,226,5.31,caasi,10.0,78.76,0
19462,0.0,5.19,347,8.65,cabading,10.0,78.39,0
19482,0.0,0.0,158,10.13,cabanayan,10.0,84.18,0
19897,0.0,0.0,181,13.26,calicdan,10.0,75.69,0
142164,0.0,0.0,115,0.0,vongsavanh,10.0,96.52,0
81225,0.0,0.0,138,0.0,lumagui,10.0,90.58,0
74279,0.0,0.0,179,3.35,ladhani,10.0,91.62,0
12541,28.1,3.72,242,8.26,bisnauth,10.0,53.72,0
28461,0.0,3.98,176,0.0,cudiamat,10.0,90.34,0
138619,2.06,0.0,485,0.0,vahora,10.0,93.81,0
105772,0.0,0.0,234,0.0,polavarapu,10.0,97.01,0
82420,0.0,5.98,117,0.0,magboo,10.0,79.49,0
138651,0.0,4.55,110,0.0,vakalahi,10.0,81.82,0
130601,20.45,7.67,313,4.79,sugrim,11.0,56.87,0
40207,0.0,0.0,140,4.29,estipona,11.0,88.57,0
122914,0.0,0.0,187,4.81,shije,11.0,91.44,0
123025,0.0,9.02,377,1.59,shinsato,11.0,76.66,0
148013,0.0,0.0,136,0.0,yellowboy,11.0,92.65,0
40213,0.0,0.0,203,7.88,estoesta,11.0,88.18,0
109173,0.0,5.13,156,7.69,ramento,11.0,67.95,0
76329,0.0,9.86,142,8.45,lavulo,11.0,69.72,0
6819,0.0,7.38,149,6.71,bajet,11.0,71.81,0
22012,0.0,5.39,334,14.97,catbagan,11.0,74.55,0
108386,0.0,4.12,194,15.46,quitevis,11.0,63.4,0
78226,0.0,4.72,127,0.0,libao,11.0,86.61,0
9098,0.0,6.88,160,3.75,baylosis,11.0,83.75,0
90761,0.0,4.44,135,0.0,minocha,11.0,88.15,0
23901,0.0,0.0,178,0.0,chirayil,11.0,94.94,0
23864,0.0,0.0,161,0.0,chintalapati,11.0,97.52,0
33213,0.0,0.0,162,0.0,devireddy,11.0,98.15,0
35260,0.0,0.0,166,0.0,donepudi,11.0,98.8,0
