,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,Other
103438,4.43,18.72,203,72.91,perze,5.0,0.0,0
5643,0.0,3.73,241,89.63,augilar,5.0,5.39,0
103300,0.0,4.26,258,93.41,perrez,5.0,0.0,0
92424,0.0,22.54,142,73.24,morciglio,5.0,0.0,0
79696,0.0,2.16,1019,97.45,loeza,5.0,0.0,0
61235,0.0,3.85,598,95.65,huaracha,5.0,0.0,0
123873,0.0,2.08,481,97.3,sigaran,5.0,0.0,0
1170,0.0,6.41,156,89.74,agredo,5.0,0.0,0
22796,0.0,7.14,238,90.34,chagala,5.0,0.0,0
138395,0.0,6.67,300,91.33,urtado,5.0,1.67,0
79899,0.0,7.76,361,91.97,lombrana,5.0,0.0,0
23319,0.0,9.57,658,89.21,chavoya,5.0,0.0,0
53386,0.0,2.81,427,93.68,guitierez,5.0,3.05,0
110243,0.0,4.99,501,94.41,rebolloso,5.0,0.0,0
138714,0.0,2.68,261,90.42,valdovino,5.0,6.13,0
94070,0.0,13.27,113,81.42,musquez,5.0,0.0,0
21828,0.0,8.37,251,90.44,castanuela,5.0,0.0,0
40325,0.0,1.94,309,97.41,eudave,5.0,0.0,0
64844,0.0,10.65,1052,50.1,jojola,5.0,36.5,0
137795,1.42,4.55,352,94.03,ubiera,5.0,0.0,0
1244,0.0,2.96,270,97.04,agundis,5.0,0.0,0
76450,0.0,9.26,378,87.57,lazarin,6.0,1.32,0
88771,0.0,6.72,119,91.6,melindez,6.0,0.0,0
19596,0.0,1.46,343,97.67,cachu,6.0,0.0,0
19587,0.0,7.05,156,92.31,caceda,6.0,0.0,0
53539,0.0,0.0,156,97.44,guncay,6.0,0.0,0
117214,0.0,12.32,1274,87.05,sanroman,6.0,0.0,0
74711,0.0,5.28,303,93.73,laluz,6.0,0.0,0
92681,0.0,5.0,180,94.44,morrales,6.0,0.0,0
76742,0.0,5.2,173,94.8,lecona,6.0,0.0,0
92329,2.11,6.1,426,90.85,moradel,6.0,0.0,0
92158,0.0,3.12,897,94.98,monterroza,6.0,1.23,0
91983,0.0,3.37,1514,95.9,monjaras,6.0,0.0,0
5798,0.0,25.74,136,73.53,autobee,6.0,0.0,0
117568,0.0,6.45,186,86.56,sariol,6.0,6.45,0
92027,0.0,3.23,929,96.02,monrroy,6.0,0.0,0
93071,0.0,21.3,169,78.7,mourino,6.0,0.0,0
88344,0.0,8.13,123,86.18,medran,6.0,0.0,0
7615,0.0,5.35,542,92.44,baquera,6.0,1.29,0
48766,0.0,30.77,117,68.38,giacoman,6.0,0.0,0
141839,0.0,4.79,188,94.15,vizuet,6.0,0.0,0
20892,0.0,2.82,746,96.38,carapia,6.0,0.0,0
20900,0.0,7.96,515,91.46,caravantes,6.0,0.0,0
50465,0.0,5.0,120,93.33,gollaz,6.0,0.0,0
4649,0.0,3.13,192,96.35,armienta,6.0,0.0,0
21836,0.0,28.48,158,71.52,castelano,6.0,0.0,0
21000,0.0,6.07,214,86.92,cardinas,6.0,6.07,0
50728,0.0,7.03,256,90.63,gonzlez,6.0,0.0,0
21822,0.0,7.8,141,92.2,castanera,6.0,0.0,0
20649,1.19,7.14,420,91.43,capeles,6.0,0.0,0
25780,5.63,14.44,284,77.46,collaso,6.0,0.0,0
94686,0.0,6.25,1839,90.65,nanez,6.0,2.7200000000000000,0
90691,0.0,13.39,112,84.82,miniel,6.0,0.0,0
51347,0.0,10.71,140,83.57,gozales,6.0,3.57,0
51348,0.0,5.21,326,94.48,gozalez,6.0,0.0,0
21330,0.0,13.79,261,84.29,carrales,6.0,0.0,0
116759,22.06,5.88,272,68.01,sambula,6.0,1.84,0
90846,0.0,1.82,275,98.18,miralrio,6.0,0.0,0
4758,0.0,0.0,185,99.46,arollo,6.0,0.0,0
20012,0.0,12.41,145,87.59,callirgos,6.0,0.0,0
22710,0.0,4.24,118,94.92,cetino,6.0,0.0,0
28509,0.0,0.0,258,95.74,cuji,6.0,3.1,0
28420,0.0,11.11,153,86.93,cucalon,6.0,0.0,0
22565,0.0,3.63,1019,95.49,cereceres,6.0,0.59,0
77968,0.0,16.23,228,80.26,levano,6.0,0.0,0
19721,0.0,0.0,210,99.52,cahuantzi,6.0,0.0,0
88904,0.35,3.93,2898,95.27,membreno,6.0,0.24,0
19664,1.36,7.73,440,90.68,caez,6.0,0.0,0
20533,0.0,0.0,153,97.39,cantabrana,6.0,0.0,0
22196,0.0,26.16,581,71.08,cavasos,6.0,0.0,0
22298,0.0,0.0,210,97.62,cazarin,6.0,0.0,0
96198,0.0,5.45,165,93.94,niebles,6.0,0.0,0
89448,0.0,0.0,240,90.42,mesinas,6.0,7.92,0
28363,0.0,0.0,171,99.42,cuahutle,6.0,0.0,0
77810,4.69,15.49,213,78.87,lespier,6.0,0.0,0
50026,0.0,4.63,367,95.1,gobea,6.0,0.0,0
20422,0.0,0.0,140,97.14,canett,6.0,0.0,0
79454,0.0,5.61,285,94.04,loaisiga,6.0,0.0,0
148574,0.0,0.0,110,100.0,zacapala,6.0,0.0,0
133243,0.0,0.0,125,95.2,telez,6.0,0.0,0
138752,0.0,4.19,167,95.21,valerdi,6.0,0.0,0
102506,0.0,12.33,292,85.27,pegueros,6.0,0.0,0
1832,0.0,4.19,215,95.81,alecio,6.0,0.0,0
14917,0.0,7.14,140,89.29,borruel,6.0,3.57,0
140051,0.0,0.0,126,96.83,varrios,6.0,0.0,0
101238,0.0,9.43,297,89.56,parajon,6.0,0.0,0
45559,0.56,8.57,1972,89.35,fuentez,6.0,1.07,0
138708,0.0,0.0,182,97.25,valdivias,6.0,0.0,0
108239,0.0,7.54,517,91.88,quiceno,6.0,0.0,0
132746,0.0,3.95,228,96.05,tarula,6.0,0.0,0
101756,0.0,18.01,161,81.37,pasten,6.0,0.0,0
108400,2.63,0.0,228,95.61,quizhpe,6.0,0.0,0
149962,0.0,4.18,383,93.99,zizumbo,6.0,0.0,0
15639,0.0,3.15,508,96.65,boyzo,6.0,0.0,0
82383,0.0,4.07,884,95.36,magallan,6.0,0.0,0
43110,0.0,2.52,477,96.02,fiqueroa,6.0,0.0,0
1224,0.0,5.28,284,86.97,aguiler,6.0,6.33,0
83556,1.58,6.33,316,88.92,mandez,6.0,1.58,0
134993,0.0,1.15,608,98.85,tlatenchi,6.0,0.0,0
43457,0.0,7.4,851,92.48,fleites,6.0,0.0,0
61570,0.0,3.45,1740,96.44,huitron,6.0,0.0,0
79831,0.0,2.33,387,96.9,lojano,6.0,0.0,0
961,0.0,5.32,357,91.32,acevez,6.0,2.24,0
149514,0.18,5.1,4455,93.69,zermeno,6.0,0.92,0
135639,0.0,1.6,438,98.17,toriz,6.0,0.0,0
37796,0.0,7.56,172,91.86,echartea,6.0,0.0,0
110287,0.0,17.83,157,79.62,recino,6.0,0.0,0
110150,0.0,5.92,152,93.42,realyvasquez,6.0,0.0,0
84093,0.0,8.18,110,90.91,maquilon,6.0,0.0,0
82592,0.0,8.39,155,91.61,maguina,6.0,0.0,0
1672,0.0,11.07,777,88.03,albarez,6.0,0.0,0
64966,0.0,0.0,180,98.89,jinez,6.0,0.0,0
109068,0.0,8.33,144,88.89,ralat,6.0,0.0,0
11077,0.0,5.07,138,94.93,berrellez,6.0,0.0,0
47199,0.0,0.0,111,97.3,garrastegui,6.0,0.0,0
130413,0.0,0.0,390,97.95,suaste,6.0,0.0,0
40232,0.0,11.07,253,88.14,estrello,6.0,0.0,0
47307,0.0,8.29,181,89.5,garzona,6.0,0.0,0
40040,0.0,6.07,247,93.93,esparra,6.0,0.0,0
32451,2.35,7.17,893,88.8,depena,6.0,0.0,0
116364,0.0,0.0,252,98.41,salayandia,6.0,0.0,0
32334,0.0,7.65,340,91.76,denogean,6.0,0.0,0
47087,0.0,6.64,226,89.82,gargia,6.0,0.0,0
8248,0.0,0.0,359,100.0,barrita,6.0,0.0,0
116395,0.0,8.04,112,91.96,saldiva,6.0,0.0,0
57903,0.0,0.0,176,98.3,herasme,6.0,0.0,0
57900,0.88,4.88,1025,93.46,herandez,6.0,0.78,0
141337,0.0,5.88,221,94.12,villacreses,6.0,0.0,0
31160,0.36,6.69,4455,92.32,dehoyos,6.0,0.31,0
31808,0.0,17.07,826,80.63,delpozo,6.0,1.94,0
31819,0.0,3.94,4311,95.5,delreal,6.0,0.19,0
64243,0.0,11.89,185,87.57,jazo,6.0,0.0,0
