,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,other
6030,79.17,2.98,168,9.52,ayana,985.0,7.74,0
86089,62.38,32.29,319,1.57,maybank,986.0,0.0,0
86066,78.83,5.84,137,5.84,maximin,987.0,0.0,0
5165,56.63,39.29,196,0.0,aska,987.0,0.0,0
86687,74.05,20.01,5816,2.17,mcclinton,990.0,0.53,0
117631,68.09,25.7,887,2.37,sarr,991.0,0.0,0
124566,89.71,4.2,476,0.0,sissoko,994.0,0.0,0
71444,97.75,0.75,1733,0.52,koroma,995.0,0.0,0
115658,69.49,0.0,118,11.02,saadiq,995.0,10.17,0
146674,92.02,6.21,451,1.11,wolde,996.0,0.0,0
64914,98.11,0.0,159,0.0,joof,997.0,0.0,0
64375,69.34,24.1,3797,1.45,jemison,997.0,1.79,0
61784,74.57,12.1,1628,7.56,hunte,998.0,1.85,0
130702,87.28,9.98,401,0.0,sullen,998.0,0.0,0
49451,53.4,40.78,206,2.91,girault,1001.0,0.0,0
109829,69.81,6.85,891,0.0,rattler,1001.0,15.26,0
15717,59.34,35.9,5485,1.35,bracey,1003.0,0.62,0
79358,55.87,37.29,716,2.09,livings,1003.0,2.8,1
144828,92.29,3.33,480,0.0,whack,1005.0,0.0,0
117386,81.19,4.48,335,1.79,sanusi,1007.0,11.04,0
88734,61.63,30.23,172,6.98,meles,1011.0,0.0,0
28924,60.8,34.33,1477,2.44,cuyler,1016.0,0.0,0
123523,59.82,32.14,112,0.0,siad,1017.0,0.0,0
76309,50.83,47.5,120,0.0,lavington,1018.0,0.0,0
6241,96.25,0.0,373,0.0,babatunde,1018.0,0.0,0
133215,92.98,0.0,171,0.0,teka,1018.0,0.0,0
23217,79.18,14.38,15473,2.29,chatman,1022.0,0.5,0
565,96.88,0.0,128,0.0,achebe,1023.0,0.0,0
134764,86.22,0.0,196,5.61,tingling,1024.0,3.57,0
135212,68.43,24.95,7536,2.55,toliver,1026.0,0.8600000000000000,0
145865,53.07,39.97,2397,2.13,wilmore,1027.0,1.17,0
28271,80.0,11.84,245,3.67,crutch,1029.0,0.0,0
23127,84.63,7.72,1334,3.75,charlot,1030.0,0.0,0
12882,65.62,25.46,3237,5.56,blanding,1030.0,0.62,0
92177,57.09,37.43,1277,3.05,montford,1031.0,0.0,0
94538,52.73,36.36,165,4.85,nairne,1035.0,0.0,0
132141,95.52,1.0,603,1.33,taiwo,1037.0,0.83,0
98413,95.07,1.43,1116,0.81,okoye,1041.0,0.0,0
28973,87.54,9.0,289,2.42,cyprien,1042.0,0.0,0
92281,72.49,22.56,4849,2.0,moorer,1044.0,0.62,0
95157,93.86,2.29,2491,1.08,ndiaye,1044.0,0.0,0
74885,74.47,15.7,1140,7.54,lamour,1048.0,0.0,0
90525,65.54,29.3,1181,1.35,milsap,1049.0,0.0,0
85637,83.97,8.52,1597,3.51,mathurin,1050.0,0.0,0
94172,90.21,4.2,143,0.0,mutua,1051.0,0.0,0
60083,50.48,42.83,628,1.75,hollings,1052.0,0.0,0
147376,73.89,18.63,4573,3.08,wyche,1053.0,0.7,0
86106,55.83,36.66,4356,3.86,maye,1054.0,1.21,0
34246,54.82,40.31,6242,1.81,dinkins,1056.0,0.54,0
32689,99.3,0.0,143,0.0,derozan,1057.0,0.0,0
7246,96.62,1.13,1241,0.4,balogun,1058.0,0.0,0
65667,86.84,5.26,114,6.14,kahin,1059.0,0.0,0
39562,52.99,43.28,134,0.0,ephron,1061.0,0.0,0
125142,58.47,31.48,378,1.59,sleet,1063.0,0.0,0
25000,90.26,7.18,195,0.0,clea,1066.0,0.0,0
84207,52.78,43.4,288,0.0,marcellin,1069.0,0.0,0
129530,75.28,20.39,1270,0.71,stoudemire,1070.0,0.0,0
97995,95.42,0.0,131,0.0,odu,1073.0,0.0,0
10414,69.79,23.73,3995,2.85,benford,1079.0,0.43000000000000000,0
5014,96.31,0.87,922,0.87,asamoah,1079.0,0.0,0
134614,61.87,30.94,139,0.0,tillage,1079.0,0.0,0
127705,84.01,9.26,8155,2.44,stallworth,1080.0,0.6,0
146658,59.03,34.03,144,0.0,wol,1088.0,0.0,0
143508,81.21,11.41,149,0.0,waterton,1090.0,0.0,0
53167,85.38,7.47,3372,3.23,guerrier,1095.0,0.8300000000000000,0
125668,94.87,0.0,117,0.0,sneeze,1096.0,0.0,0
27808,64.0,33.33,150,0.0,crier,1102.0,0.0,0
55765,58.37,35.45,1213,3.71,harriott,1103.0,0.0,0
14413,72.21,16.89,1101,7.63,bonhomme,1103.0,0.0,0
74184,57.85,36.39,382,0.0,lackland,1110.0,0.0,0
17318,64.73,29.11,292,3.42,brooms,1110.0,0.0,0
83424,59.91,36.23,908,0.0,mamo,1111.0,1.1,0
55525,87.04,9.88,324,0.0,hardwell,1115.0,0.0,0
104756,72.6,19.58,1011,0.0,pinkett,1118.0,1.48,0
87593,55.0,40.4,500,0.0,mckethan,1121.0,0.0,0
128649,75.95,18.95,1214,1.98,stennis,1121.0,0.0,0
66878,72.8,24.09,1669,1.26,kassa,1122.0,0.9,0
129998,58.98,34.32,4071,2.33,stroman,1124.0,0.73,0
1855,66.18,21.87,343,5.54,alem,1125.0,3.21,0
78219,55.35,31.35,925,10.7,lias,1131.0,0.0,0
138233,79.34,13.4,963,2.8,upshur,1131.0,0.0,0
113867,72.94,18.82,170,2.94,rookwood,1133.0,0.0,0
114663,54.9,39.92,4386,1.82,rozier,1137.0,0.8,0
63341,59.07,36.51,882,1.93,izzard,1137.0,0.0,0
66269,52.87,12.74,157,0.0,kanga,1137.0,25.48,0
148207,93.75,3.32,1297,0.0,yohannes,1140.0,1.0,0
43689,50.36,42.61,5344,2.84,flournoy,1141.0,0.9000000000000000,0
51609,84.28,8.46,1749,3.54,grandison,1144.0,0.0,0
85547,60.37,8.79,694,0.0,mateen,1149.0,23.34,0
40905,63.21,31.68,6398,1.95,fairley,1150.0,0.63,0
60726,55.86,37.56,1475,2.24,horsey,1151.0,0.0,1
8780,87.91,4.29,6640,2.83,batiste,1152.0,1.8400000000000000,0
63738,92.08,4.15,265,2.26,jammeh,1153.0,0.0,0
53641,53.85,41.03,117,0.0,gurdon,1156.0,0.0,0
55902,55.71,37.65,648,4.63,harts,1163.0,0.0,0
71023,65.35,27.23,202,2.48,konan,1163.0,0.0,0
12212,67.12,27.63,6475,2.27,billups,1171.0,0.77,0
109141,54.55,39.28,1087,3.77,rambert,1173.0,0.0,0
46861,78.47,16.42,274,2.92,garba,1176.0,0.0,0
11415,82.38,7.25,193,0.0,betsey,1177.0,5.18,0
107792,56.59,38.59,2117,2.08,purdie,1179.0,0.9,0
112905,50.5,32.67,202,11.39,robi,1184.0,5.45,0
1436,94.97,1.99,1610,1.18,ajayi,1188.0,0.0,0
30356,62.2,29.08,3958,2.07,daye,1193.0,3.46,0
140156,53.45,41.0,1856,1.89,vasser,1194.0,0.0,0
44030,80.34,13.78,1190,2.18,footman,1198.0,0.0,0
38799,66.9,15.17,145,6.21,elix,1199.0,0.0,0
86937,67.81,25.53,3302,2.15,mccullum,1215.0,0.8800000000000000,0
